Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+4E00,一,yī,37673,26345,,,"one; a, an; alone"
U+4E01,丁,dīng,258,231,,,"male adult; robust, vigorous; 4th heavenly stem"
U+4E03,七,qī,824,677,,,seven
U+4E07,万,wàn mò,5384,3973,"万,萬",万,ten thousand; innumerable
U+4E08,丈,zhàng,63,55,,,"unit of length equal 3.3 meters; gentleman, man, husband"
U+4E09,三,sān,6435,5384,,,three
U+4E0A,上,shàng,21000,16160,,,"top; superior, highest; go up, send up"
U+4E0B,下,xià,13303,10838,,,"under, underneath, below; down; inferior; bring down"
U+4E0D,不,bù,18382,14224,,,"no, not; un-; negative prefix"
U+4E0E,与,yǔ,8389,7284,與,,"and; with; to; for; give, grant"
U+4E10,丐,gài,3,3,,,beggar; beg; give
U+4E11,丑,chǒu,53,50,"丑,醜",丑,"clown, comedian; second earthly branch"
U+4E13,专,zhuān,1993,1810,專,,"monopolize, take sole possession"
U+4E14,且,qiě,1096,1074,,,"moreover, also (post-subject); about to, will soon (pre-verb)"
U+4E16,世,shì,5335,4229,,,generation; world; era
U+4E18,丘,qiū,91,72,,,hill; elder; empty; a name
U+4E19,丙,bǐng,67,63,,,third; 3rd heavenly stem
U+4E1A,业,yè,11737,8058,業,,"profession, business; GB radical 111"
U+4E1B,丛,cóng,39,35,叢,,"bush, shrub; thicket; collection"
U+4E1C,东,dōng,3868,3042,東,,"east, eastern, eastward"
U+4E1D,丝,sī,415,328,絲,,silk; fine thread; wire; strings
U+4E1F,丟,diū,11,11,,丢,"discard, reject, lose"
U+4E22,丢,diū,87,80,"丟,丢",丢,discard
U+4E24,两,liǎng,4343,3831,"两,兩",两,"two, both, pair, couple; ounce"
U+4E25,严,yán,1480,1403,嚴,,"strict, rigorous, rigid; stern"
U+4E26,並,bìng,719,673,,并,"equal to; side by side; also, what is more; both"
U+4E27,丧,sàng,110,110,喪,,mourning; mourn; funeral
U+4E28,丨,gǔn,122,121,,,(same as 〡 HANGZHOU NUMERAL ONE) number one; line
U+4E2A,个,gè,10943,8963,"个,個",个,"numerary adjunct, piece; single"
U+4E2B,丫,yā,16,8,,,forked; bifurcation
U+4E2D,中,zhōng,50985,28677,,,"central; center, middle; in the midst of; hit (target); attain"
U+4E30,丰,fēng,1164,839,"丰,豐",丰,"abundant, lush, bountiful, plenty"
U+4E32,串,chuàn,160,140,,,string; relatives; conspire
U+4E34,临,lín,1663,1575,臨,,"draw near, approach; descend"
U+4E38,丸,wán,76,66,,,"small round object; pellet, pill"
U+4E39,丹,dān,616,494,,,cinnabar (native HgS); vermilion (artificial HgS used as pigment)
U+4E3A,为,wèi,16962,13680,"為,爲",,"do, handle, govern, act; be"
U+4E3B,主,zhǔ,7419,6402,,,"master, chief owner; host; lord"
U+4E3D,丽,lì,464,385,麗,,"beautiful, magnificent, elegant"
U+4E3E,举,jǔ,2695,2419,舉,,"raise, lift up; recommend"
U+4E43,乃,nǎi,114,111,,,"then; really, indeed; as it turned out, after all; namely"
U+4E45,久,jiǔ,750,674,,,"long time (ago); time passage, grow late"
