"6gram","Frequency","Total Tweets"
"美国总统特朗","175","175"
"国总统特朗普","175","175"
"中国人工智能","57","57"
"哪吒之魔童闹","47","43"
"吒之魔童闹海","47","43"
"公司深度求索","40","40"
"任总统特朗普","35","35"
"候任总统特朗","33","33"
"知情人士透露","31","31"
"美国候任总统","28","28"
"国候任总统特","27","27"
"总统特朗普的","26","26"
"外交部發言人","23","23"
"特朗普的关税","21","20"
"中國外交部發","21","21"
"國外交部發言","21","21"
"中国国家主席","21","21"
"国家主席习近","21","21"
"家主席习近平","21","21"
"国国家主席习","20","20"
"哪吒之魔童鬧","20","17"
"吒之魔童鬧海","20","17"
"企业深度求索","18","18"
"首席执行官黄","17","17"
"席执行官黄仁","17","17"
"执行官黄仁勋","17","17"
"人工智能模型","17","17"
"当选总统特朗","17","17"
"选总统特朗普","17","17"
"美国科技巨头","16","16"
"美国当选总统","16","16"
"中国科技巨头","15","15"
"国当选总统特","15","15"
"创公司深度求","14","14"
"据知情人士透","14","14"
"统特朗普的关","13","13"
"人工智能公司","13","13"
"美國總統特朗","13","13"
"國總統特朗普","13","13"
"政府工作報告","13","9"
"特朗普政府的","13","13"
"总统特朗普宣","13","13"
"总统特朗普说","12","12"
"全球影史票房","12","10"
"俄罗斯总统普","11","11"
"进口商品征收","11","10"
"中国初创公司","11","11"
"北方民族大學","11","11"
"方民族大學華","11","11"
"民族大學華韻","11","11"
"族大學華韻文","11","11"
"大學華韻文化","11","11"
"學華韻文化雙","11","11"
"華韻文化雙語","11","11"
"受访学者认为","11","11"
"初创公司深度","11","11"
"加拿大和墨西","11","11"
"拿大和墨西哥","11","11"
"统特朗普宣布","11","11"
"高级公职人员","11","11"
"级公职人员犯","11","11"
"公职人员犯罪","11","11"
"职人员犯罪调","11","11"
"人员犯罪调查","11","11"
"员犯罪调查处","11","11"
"工智能公司深","10","10"
"智能公司深度","10","10"
"能公司深度求","10","10"
"英伟达首席执","10","10"
"伟达首席执行","10","10"
"达首席执行官","10","10"
"美国联邦储备","10","10"
"交部發言人毛","10","10"
"部發言人毛寧","10","10"
"韻文化雙語傳","10","10"
"日本首相石破","10","10"
"本首相石破茂","10","10"
"人工智能初创","10","10"
"工智能初创公","10","10"
"智能初创公司","10","10"
"韩国高级公职","10","10"
"国人工智能公","9","9"
"国联邦储备局","9","9"
"罗斯总统普京","9","9"
"与美国总统特","9","9"
"中國載人航天","9","8"
"总统特朗普表","9","9"
"中共中央政治","9","9"
"共中央政治局","9","9"
"中央政治局委","9","9"
"特朗普政府正","9","9"
"國家主席習近","9","8"
"家主席習近平","9","8"
"美国特朗普政","9","9"
"国特朗普政府","9","9"
"巨头阿里巴巴","9","9"
"聯合國教科文","9","5"
"合國教科文組","9","5"
"國教科文組織","9","5"
"美国钢铁公司","9","8"
"韩国总统尹锡","9","9"
"国总统尹锡悦","9","9"
"国高级公职人","9","9"
"美国总统拜登","9","9"
"中國網絡媒體","9","8"
"國網絡媒體論","9","8"
"網絡媒體論壇","9","8"
"总统特朗普在","8","8"
"在美国总统特","8","8"
"执行长黄仁勋","8","8"
"日本經濟新聞","8","7"
"前总统杜特尔","8","8"
"总统杜特尔特","8","8"
"统特朗普表示","8","8"
"文化雙語傳播","8","8"
"化雙語傳播社","8","8"
"人工智能领域","8","8"
"國載人航天工","8","7"
"載人航天工程","8","7"
"乌克兰总统泽","8","8"
"克兰总统泽连","8","8"
"兰总统泽连斯","8","8"
"总统泽连斯基","8","8"
"国初创公司深","8","8"
"外交部长王毅","8","8"
"总统特朗普星","8","8"
"统特朗普星期","8","8"
"個國家和地區","8","8"
"非物質文化遺","8","7"
"物質文化遺產","8","7"
"总统尹锡悦的","8","8"
"创始人梁文锋","8","8"
"国人工智能初","8","8"
"收購美國鋼鐵","8","6"
"社交媒体平台","7","7"
"创下历史新高","7","7"
"在香港上市的","7","7"
"中国电动汽车","7","7"
"国际刑事法院","7","7"
"據網絡平台數","7","7"
"網絡平台數據","7","7"
"中国动画电影","7","7"
"对特朗普政府","7","7"
"在社交媒体上","7","7"
"美国人工智能","7","7"
"科技巨头苹果","7","7"
"交部發言人林","7","7"
"部發言人林劍","7","7"
"朗普政府正在","7","7"
"美國川普政府","7","7"
"部新聞發言人","7","7"
"公司首席执行","7","7"
"司首席执行官","7","7"
"中國常駐聯合","7","7"
"國常駐聯合國","7","7"
"科技巨头阿里","7","7"
"技巨头阿里巴","7","7"
"在一定程度上","7","7"
"人工智能企业","7","7"
"特朗普宣布对","7","7"
"加利福尼亚州","7","7"
"加沙地带停火","7","7"
"首席执行官周","7","7"
"中国社交平台","7","7"
"特朗普的就职","7","7"
"总统特朗普将","6","6"
"春天里的中国","6","6"
"的大语言模型","6","6"
"来的最高水平","6","6"
"球影史票房榜","6","6"
"号航天员乘组","6","4"
"总统小马可斯","6","6"
"衛星順利進入","6","6"
"發射任務獲得","6","6"
"官方数据显示","6","6"
"外交部長王毅","6","6"
"工智能领域的","6","6"
"府工作報告中","6","4"
"央政治局委員","6","6"
"马来西亚政府","6","6"
"人工智能晶片","6","6"
"人航天工程辦","6","6"
"航天工程辦公","6","6"
"天工程辦公室","6","6"
"中国茶饮品牌","6","6"
"亚洲周刊专区","6","6"
"电动汽车市场","6","5"
"中国外交部长","6","6"
"国外交部长王","6","6"
"以色列和哈马","6","6"
"色列和哈马斯","6","6"
"國家和地區的","6","6"
"泰国总理佩通","6","4"
"国总理佩通坦","6","4"
"中國國家主席","6","6"
"國國家主席習","6","6"
"商務部新聞發","6","6"
"務部新聞發言","6","6"
"总统特朗普对","6","6"
"特朗普重返白","6","6"
"朗普重返白宫","6","6"
"结束俄乌战争","6","6"
"国科技巨头阿","6","6"
"全球票房榜前","6","5"
"在人工智能领","6","6"
"大型语言模型","6","6"
"中國國家鐵路","6","4"
"对美国总统特","6","6"
"国人工智能企","6","6"
"工智能企业深","6","6"
"智能企业深度","6","6"
"能企业深度求","6","6"
"当地时间星期","6","6"
"萬億元人民幣","6","4"
"的首席执行官","6","6"
"中國駐紐約總","6","3"
"國駐紐約總領","6","3"
"对总统尹锡悦","6","6"
"席执行官周受","6","6"
"执行官周受资","6","6"
"朗普的就职典","6","6"
"普的就职典礼","6","6"
"鐵收購美國鋼","6","5"
"西藏日喀则市","6","6"
"加拿大总理卡","5","5"
"拿大总理卡尼","5","5"
"达成贸易协议","5","5"
"今年经济增长","5","5"
"來的最低水準","5","5"
"英伟达股价在","5","5"
"人工智能芯片","5","4"
"与特朗普政府","5","5"
"香港上市的股","5","5"
"港上市的股票","5","5"
"国电动车巨头","5","5"
"国进口商品征","5","5"
"美国太空探索","5","5"
"特朗普就职典","5","5"
"朗普就职典礼","5","5"
"美國總統川普","5","5"
"菲律宾前总统","5","5"
"律宾前总统杜","5","5"
"宾前总统杜特","5","5"
"中國成功發射","5","5"
"衛星發射中心","5","5"
"星發射中心使","5","5"
"發射中心使用","5","5"
"射中心使用長","5","5"
"星順利進入預","5","5"
"順利進入預定","5","5"
"利進入預定軌","5","5"
"進入預定軌道","5","5"
"射任務獲得圓","5","5"
"任務獲得圓滿","5","5"
"務獲得圓滿成","5","5"
"獲得圓滿成功","5","5"
"中新社記者採","5","5"
"新社記者採訪","5","5"
"贸易及工业部","5","5"
"在接受中新網","5","5"
"人形机器人半","5","4"
"北京亦庄半程","5","4"
"京亦庄半程马","5","4"
"亦庄半程马拉","5","4"
"庄半程马拉松","5","4"
"特朗普政府对","5","5"
"政協十四屆三","5","5"
"協十四屆三次","5","5"
"十四屆三次會","5","5"
"四屆三次會議","5","5"
"展开反垄断调","5","5"
"开反垄断调查","5","5"
"总统特朗普周","5","5"
"據中國載人航","5","5"
"国科技巨头苹","5","5"
"市场竞争加剧","5","5"
"引擎巨头百度","5","5"
"对加拿大和墨","5","5"
"人形机器人的","5","5"
"片巨头英伟达","5","5"
"哈爾濱冰雪大","5","4"
"爾濱冰雪大世","5","4"
"濱冰雪大世界","5","4"
"伯克希尔哈撒","5","4"
"克希尔哈撒韦","5","4"
"希尔哈撒韦公","5","4"
"尔哈撒韦公司","5","4"
"在特朗普政府","5","5"
"首席执行官库","5","5"
"席执行官库克","5","5"
"在社交平台发","5","5"
"單一市場票房","5","3"
"入全球影史票","5","4"
"家移民管理局","5","5"
"聯合國安理會","5","5"
"慕尼黑安全会","5","5"
"尼黑安全会议","5","5"
"入全球票房榜","5","4"
"集團有限公司","5","5"
"马来西亚警方","5","5"
"中国驻韩国大","5","5"
"国驻韩国大使","5","5"
"第九届亚冬会","5","5"
"贸易伙伴征收","5","5"
"储能超级工厂","5","3"
"亞洲人權論壇","5","3"
"特朗普签署行","5","5"
"朗普签署行政","5","5"
"墨西哥和加拿","5","5"
"西哥和加拿大","5","5"
"社交媒体巨头","5","5"
"一名联邦法官","5","5"
"駐紐約總領事","5","3"
"美国国债收益","5","4"
"国国债收益率","5","4"
"美國鋼鐵公司","5","5"
"公司字节跳动","5","5"
"路口岸出入境","5","4"
"藏日喀则市定","5","5"
"日喀则市定日","5","5"
