字,frequency,total_tweets
的,83309,33791
国,44442,22138
在,30126,20680
中,28786,17184
一,25120,17628
日,21360,13062
人,19674,12968
美,18744,11681
年,18526,12097
大,17968,13174
是,15122,11383
和,14793,11647
为,14455,11600
了,13973,10853
有,13666,10728
新,13465,10010
上,13244,10297
出,12837,10162
不,12715,9796
本,12091,7733
来,12009,10037
月,11925,9242
对,11884,9430
将,11778,9322
发,11773,9440
这,11352,9524
能,11331,8729
公,10811,7983
以,10681,9034
业,10258,6948
行,10045,7870
会,9786,7400
家,9667,7835
成,9465,7853
个,9171,7507
下,9034,7345
加,9010,7011
到,8724,7451
动,8575,6653
高,8495,6836
期,8335,7117
生,8313,6399
地,8234,6378
可,8137,6779
时,8091,6758
市,8060,5994
全,7973,6594
最,7962,6890
前,7758,6862
多,7748,6630
于,7732,6862
司,7594,5648
机,7594,5277
产,7437,5237
经,7374,5694
现,7314,6311
用,7313,5521
电,7270,4211
长,7108,5621
开,7097,5955
元,6746,4364
工,6647,4627
过,6626,5840
后,6609,5934
与,6578,5737
要,6571,5548
政,6556,5094
资,6510,4515
部,6427,5290
场,6418,5257
数,6412,5039
斯,6271,4122
度,6212,4986
进,6200,5354
增,6069,4353
表,6044,5335
台,6021,3582
关,5982,4964
制,5821,4666
示,5755,5244
车,5733,2928
者,5701,4772
天,5700,4622
方,5666,4797
商,5627,4668
也,5615,5130
体,5552,4287
特,5522,4078
面,5423,4554
价,5407,3808
其,5399,4804
外,5355,4340
球,5334,4083
计,5325,4485
他,5315,4221
分,5304,4607
情,5301,4532
股,5277,3180
海,5203,3523
之,5199,4735
力,5199,4457
但,5187,4948
周,5186,4502
等,5151,4457
已,5141,4742
通,5080,4243
员,5018,3971
利,4974,3980
自,4960,4236
疫,4950,3287
作,4942,4150
正,4941,4463
重,4915,4312
入,4895,4219
民,4835,3716
至,4831,4253
近,4668,4279
报,4599,4089
法,4579,3567
说,4569,4116
万,4563,3346
达,4550,3863
导,4524,3519
总,4491,3756
比,4487,3604
金,4484,3185
布,4455,4038
提,4450,3926
应,4431,3808
马,4400,3248
星,4380,3704
投,4378,3303
合,4375,3705
亚,4327,3369
品,4317,3144
企,4303,3050
同,4298,3748
次,4278,3737
内,4255,3799
并,4250,4022
们,4239,3430
首,4231,3758
量,4224,3232
而,4198,3896
主,4168,3687
持,4157,3663
受,4146,3787
济,4135,3020
交,4122,3379
名,4082,3417
该,4072,3585
化,4064,3233
统,4046,3354
果,4023,3186
口,3998,2812
三,3998,3502
平,3987,3404
起,3977,3535
实,3976,3531
被,3963,3513
定,3959,3515
今,3926,3616
间,3884,3463
学,3883,2604
亿,3874,2747
务,3846,3151
南,3844,3216
从,3831,3512
因,3820,3504
更,3807,3309
指,3767,2933
得,3751,3417
预,3734,3101
据,3707,3252
约,3656,3121
两,3640,3209
当,3633,3304
事,3618,3103
小,3589,2838
第,3585,3054
造,3578,3138
续,3575,3257
种,3563,2766
如,3555,3214
及,3536,3271
病,3519,2098
称,3503,3269
接,3491,2936
理,3488,2931
向,3480,3166
西,3466,2844
府,3466,3048
技,3451,2765
相,3449,3126
