字,frequency,total_tweets
的,14366,5103
國,10515,4239
中,8697,4015
日,7356,3677
在,5547,3451
年,4457,2481
人,3537,2005
一,3477,2383
大,3442,2270
本,3173,1601
月,3163,2183
美,3149,1607
為,2930,2188
上,2637,1898
是,2628,1924
了,2477,1910
出,2379,1703
和,2319,1795
發,2303,1531
來,2283,1797
新,2278,1655
會,2191,1323
業,2062,1188
成,2030,1506
有,1998,1556
將,1960,1380
對,1867,1313
地,1832,1315
高,1826,1328
家,1763,1286
元,1758,873
行,1751,1249
長,1704,1131
到,1669,1348
市,1653,1112
開,1645,1256
時,1623,1274
以,1599,1337
不,1592,1247
動,1591,1177
全,1574,1162
海,1555,880
生,1531,1099
於,1469,1255
增,1465,852
外,1393,977
機,1367,781
化,1357,918
現,1348,1118
等,1346,1122
關,1344,932
與,1330,1064
場,1324,987
個,1311,1047
最,1302,1024
體,1300,871
萬,1299,796
進,1298,1045
車,1294,607
文,1291,757
下,1291,1026
經,1259,918
作,1249,985
次,1236,940
用,1231,907
加,1230,955
民,1220,844
這,1214,1042
比,1214,878
方,1211,889
能,1192,869
企,1183,715
電,1175,602
前,1148,994
自,1139,922
合,1137,852
公,1128,847
多,1126,946
量,1124,715
過,1103,933
工,1100,692
資,1093,624
學,1088,578
同,1086,867
力,1084,878
東,1071,744
度,1050,769
表,1049,847
部,1043,754
至,1041,872
主,1039,861
首,1035,787
産,1031,596
運,1026,609
間,1022,881
達,1016,776
近,1010,835
西,1009,645
面,1007,792
期,1000,777
價,993,596
球,989,686
金,978,563
入,937,739
展,937,676
第,936,718
後,933,798
品,930,613
內,922,779
數,921,666
天,919,668
利,918,645
世,914,668
示,881,790
要,877,745
之,875,725
政,870,593
相,868,739
也,859,777
平,857,623
區,844,636
物,833,535
總,829,595
正,827,725
通,821,605
可,821,664
實,812,667
分,811,689
計,801,641
口,799,472
北,797,577
界,796,610
交,794,602
小,794,598
約,791,600
京,788,535
重,787,608
從,781,694
亞,779,466
南,778,486
億,778,493
商,767,518
者,766,627
華,765,540
水,761,521
代,759,578
當,756,657
導,749,487
特,743,554
山,738,429
子,735,527
務,730,518
股,727,320
起,725,633
客,715,421
三,714,508
遊,702,391
技,696,526
半,690,430
心,680,576
際,679,531
事,672,553
斯,670,383
產,669,436
設,657,482
向,656,557
提,655,556
預,654,479
目,653,563
據,653,571
手,652,497
點,649,516
員,646,486
節,645,403
超,645,513
投,644,427
名,643,499
統,638,480
收,635,443
創,632,516
受,627,569
田,619,337
位,619,515
式,616,505
建,615,442
漲,611,357
巴,611,343
法,605,405
如,601,526
已,601,536
濟,600,433
們,594,454
續,592,517
持,587,486
定,583,500
但,582,546
就,579,493
道,578,458
銷,578,354
航,576,250
被,575,504
普,564,371
聯,563,393
舉,562,471
拉,557,361
術,556,399
降,553,394
得,549,469
看,546,480
此,544,512
科,544,395
理,544,421
率,543,373
其,542,501
格,541,405
共,540,450
稅,537,270
強,534,454
推,532,455
明,528,424
流,527,407
應,526,446
兩,521,417
安,518,373
空,518,356
果,518,396
都,517,422
型,516,387
問,514,422
賽,512,255
售,511,368
原,510,411
古,506,313
馬,506,298
減,501,368
布,499,404
值,499,338
觀,496,410
性,496,415
十,490,386
司,490,367
少,490,391
情,489,429
台,489,304
影,489,378
路,488,343
造,485,398
低,485,381
我,480,383
網,480,373
研,480,343
額,478,345
基,477,371
源,475,405
傳,475,371
活,472,388
貨,470,303
川,469,295
米,467,278
汽,466,308
指,465,356
州,464,302
接,461,406
由,460,435
爾,460,316
光,458,320
二,456,364
好,456,388
及,454,415
消,453,372
今,453,402
保,452,378
風,452,381
所,451,388
調,448,346
還,447,422
使,447,359
洲,444,286
飛,443,227
制,442,328
製,442,330
因,441,388
星,440,184
鐵,439,197
越,437,257
而,437,395
需,436,365
花,436,249
景,435,345
他,434,338
訪,432,335
領,427,347
史,424,374
戰,424,327
春,423,236
器,420,263
社,418,343
團,418,328
歐,417,247
非,414,291
升,413,325
稱,412,380
氣,412,290
立,405,326
色,404,294
易,403,302
求,402,334
連,401,347
號,398,245
歷,396,349
選,396,283
感,393,339
認,393,359
記,391,317
幣,391,240
旅,391,243
門,390,280
種,390,315
英,390,249
江,388,256
組,388,290
河,388,251
費,387,265
廣,387,272
局,386,309
供,384,312
回,383,317
克,383,254
意,379,331
境,377,262
然,377,328
著,376,331
城,376,243
神,375,293
視,373,305
無,371,302
何,371,274
放,370,302
備,369,289
引,368,323
始,366,331
程,366,290
息,366,296
去,365,323
施,360,306
標,360,303
深,359,267
速,359,298
並,359,338
該,357,324
集,355,290
火,354,235
隊,353,243
單,353,255
里,353,268
樣,352,304
均,352,291
報,350,271
豐,350,225
府,349,287
營,348,259
件,348,250
習,346,207
列,346,240
族,345,199
變,345,296
規,345,270
演,343,269
各,343,309
級,342,269
議,342,240
博,341,206
龍,339,200
題,339,287
奧,339,196
顯,338,313
院,338,248
破,337,253
線,337,247
任,336,246
省,336,282
直,336,285
轉,334,276
滿,333,255
論,333,261
治,332,268
信,332,246
域,330,279
功,329,231
福,328,226
勢,328,283
支,327,265
購,327,226
究,325,241
帶,324,269
決,323,255
排,323,229
更,322,280
港,322,168
林,321,229
女,319,220
士,319,225
專,317,270
頭,315,278
黃,315,204
反,314,260
着,312,256
故,312,266
縣,312,238
載,311,214
藏,311,175
廠,311,223
模,310,253
每,309,268
處,309,263
見,308,254
服,306,198
爭,306,261
參,306,254
眾,304,257
友,302,251
畫,301,207
結,301,260
解,300,261
軍,300,208
未,299,272
採,297,261
館,297,184
店,295,156
走,295,266
再,294,271
策,294,222
幅,293,242
韓,293,146
驗,292,226
很,292,269
測,290,208
跌,289,170
取,288,260
站,287,198
四,286,230
席,285,211
言,284,254
德,284,202
雙,284,225
印,282,152
獲,281,232
老,281,204
迎,280,244
辦,280,226
湖,279,133
義,278,196
買,278,200
屆,278,225
響,278,252
打,277,241
步,277,247
裝,277,211
票,277,160
貿,276,175
青,275,184
房,274,145
完,273,224
陸,273,190
倍,273,213
象,271,239
香,270,175
樂,270,199
白,270,200
管,270,220
園,270,185
千,269,203
尼,269,171
項,268,210
羅,267,167
存,265,225
季,264,218
愛,263,194
石,262,166
劃,261,220
態,261,214
構,261,221
讓,260,242
紅,260,182
熱,259,234
極,257,203
身,254,225
智,254,178
邊,252,193
遺,252,155
池,252,138
幕,251,211
常,251,223
致,249,228
擴,248,216
僅,248,229
雪,248,118
衛,247,130
迪,247,146
望,246,222
慶,246,161
泰,245,112
系,244,195
佔,244,218
快,243,210
查,242,182
想,242,207
質,241,185
銀,241,153
突,241,200
食,241,172
匯,240,163
包,239,221
護,238,187
居,237,191
雲,237,155
油,237,118
復,236,185
整,235,212
佈,235,211
權,235,146
藝,234,160
底,234,196
話,234,188
教,233,165
類,233,177
奇,232,214
射,232,117
談,232,175
秋,231,123
阿,230,144
片,230,174
端,228,159
較,228,208
隨,227,221
宣,225,202
往,225,182
歲,225,183
競,225,193
你,224,173
黎,224,155
俄,223,116
啟,223,204
財,223,154
別,223,207
百,222,186
環,222,184
聞,222,205
王,222,153
太,221,184
清,219,170
準,219,190
央,219,155
沒,218,205
農,218,137
午,217,169
魅,217,205
先,217,196
紀,216,166
料,215,160
優,215,185
限,214,182
積,213,185
維,213,165
止,212,176
裡,212,189
具,211,179
斷,211,195
牌,211,141
警,210,140
晚,210,172
形,209,177
考,209,153
證,208,167
武,208,132
周,208,172
份,207,167
舞,207,141
協,207,169
試,206,142
灣,205,138
難,204,170
精,202,178
改,202,181
冰,202,88
住,201,151
船,201,104
融,201,168
圖,200,161
告,200,157
獨,199,176
興,197,149
疆,197,132
村,197,122
算,195,148
核,194,122
或,194,178
錄,194,158
五,194,162
寶,192,124
卡,192,140
音,192,136
烏,191,107
背,191,170
魚,191,88
說,190,169
停,189,153
輛,189,129
菲,189,94
登,188,130
偉,185,108
只,185,169
零,185,142
麼,184,161
潤,184,105
容,183,151
張,182,144
書,181,141
案,181,133
島,181,131
班,181,109
