Codepoint,Hanzi,pinyin,Traditional Variant,Simplified Variant,Definition
U+4E00,一,yī,,,"one; a, an; alone"
U+4E01,丁,dīng,,,"male adult; robust, vigorous; 4th heavenly stem"
U+4E03,七,qī,,,seven
U+4E07,万,wàn mò,"万,萬",万,ten thousand; innumerable
U+4E08,丈,zhàng,,,"unit of length equal 3.3 meters; gentleman, man, husband"
U+4E09,三,sān,,,three
U+4E0A,上,shàng,,,"top; superior, highest; go up, send up"
U+4E0B,下,xià,,,"under, underneath, below; down; inferior; bring down"
U+4E0D,不,bù,,,"no, not; un-; negative prefix"
U+4E0E,与,yǔ,與,,"and; with; to; for; give, grant"
U+4E10,丐,gài,,,beggar; beg; give
U+4E11,丑,chǒu,"丑,醜",丑,"clown, comedian; second earthly branch"
U+4E13,专,zhuān,專,,"monopolize, take sole possession"
U+4E14,且,qiě,,,"moreover, also (post-subject); about to, will soon (pre-verb)"
U+4E16,世,shì,,,generation; world; era
U+4E18,丘,qiū,,,hill; elder; empty; a name
U+4E19,丙,bǐng,,,third; 3rd heavenly stem
U+4E1A,业,yè,業,,"profession, business; GB radical 111"
U+4E1B,丛,cóng,叢,,"bush, shrub; thicket; collection"
U+4E1C,东,dōng,東,,"east, eastern, eastward"
U+4E1D,丝,sī,絲,,silk; fine thread; wire; strings
U+4E1F,丟,diū,,丢,"discard, reject, lose"
U+4E22,丢,diū,"丟,丢",丢,discard
U+4E24,两,liǎng,"两,兩",两,"two, both, pair, couple; ounce"
U+4E25,严,yán,嚴,,"strict, rigorous, rigid; stern"
U+4E26,並,bìng,,并,"equal to; side by side; also, what is more; both"
U+4E27,丧,sàng,喪,,mourning; mourn; funeral
U+4E28,丨,gǔn,,,(same as 〡 HANGZHOU NUMERAL ONE) number one; line
U+4E2A,个,gè,"个,個",个,"numerary adjunct, piece; single"
U+4E2B,丫,yā,,,forked; bifurcation
U+4E2D,中,zhōng,,,"central; center, middle; in the midst of; hit (target); attain"
U+4E30,丰,fēng,"丰,豐",丰,"abundant, lush, bountiful, plenty"
U+4E32,串,chuàn,,,string; relatives; conspire
U+4E34,临,lín,臨,,"draw near, approach; descend"
U+4E38,丸,wán,,,"small round object; pellet, pill"
U+4E39,丹,dān,,,cinnabar (native HgS); vermilion (artificial HgS used as pigment)
U+4E3A,为,wèi,"為,爲",,"do, handle, govern, act; be"
U+4E3B,主,zhǔ,,,"master, chief owner; host; lord"
U+4E3D,丽,lì,麗,,"beautiful, magnificent, elegant"
